t,X,Y,Z,V_X,V_Y,V_Z
0.000000000000000000e+00,-1.503475345998595003e-06,-1.791796989891736303e-06,-1.034362506866455078e+01,-9.798105637350664291e-07,-1.191842996682212908e-12,-4.027884960174441531e+00
0.000000000000000000e+00,-1.502770828665234149e-06,-1.790958208403026219e-06,-1.074222087860107422e+01,-7.800534714765794266e-07,-1.231640886269298529e-12,-4.024464607238695812e+00
0.000000000000000000e+00,-1.487694930801808368e-06,-1.772991595316852909e-06,-1.115256023406982422e+01,-5.160185157967078057e-07,-9.856014529492157305e-13,-4.021287918090802549e+00
0.000000000000000000e+00,-1.458713200008787680e-06,-1.738452397148648743e-06,-1.156259250640869141e+01,-2.633633226997359598e-07,-8.410752385288005999e-13,-4.018427371978788187e+00
0.000000000000000000e+00,-1.417983980900316965e-06,-1.689912778601865284e-06,-1.196030044555664062e+01,-2.901829723298314296e-08,-7.751802725983070338e-13,-4.015923023223942678e+00
0.000000000000000000e+00,-1.362253669867641293e-06,-1.623496473257546313e-06,-1.236981201171875000e+01,2.246238308704374526e-07,-1.050801782062151961e-12,-4.013597011566269579e+00
0.000000000000000000e+00,4.952748422510921955e-04,4.716738767456263304e-04,-1.274524211883544922e+01,-6.788016253259842037e-01,6.074740012622961705e-02,-3.412974632975744438e+00
0.000000000000000000e+00,6.619669497013092041e-03,6.291060708463191986e-03,-1.306936550140380859e+01,-9.349523267439391327e-01,1.054041528318085813e-01,-2.842204222224567367e+00
0.000000000000000000e+00,3.842857107520103455e-02,3.451297432184219360e-02,-1.336962413787841797e+01,-7.919259283087813905e-01,1.212111186785659878e-01,-3.062359581024130417e+00
0.000000000000000000e+00,1.130102649331092834e-01,9.612499177455902100e-02,-1.368086051940917969e+01,-4.573542603234564963e-01,1.596672534284767075e-01,-3.400941658318202609e+00
0.000000000000000000e+00,2.378289997577667236e-01,1.912097334861755371e-01,-1.400353813171386719e+01,-2.410674266966374157e-02,2.638351898170051557e-01,-3.806881145525322196e+00
