t, X, Y, Z, V_X, V_Y, V_Z, traj_id
0.000000000000000000e+00,-1.503475345998594632e-08,-1.791796989891736355e-08,6.206175041198730424e-01,-9.798105637350664291e-07,-1.191842996682212908e-12,-4.027884960174441531e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.502770828665234096e-08,-1.790958208403026286e-08,6.445332527160644309e-01,-7.800534714765793207e-07,-1.231640886269298327e-12,-4.024464607238695812e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.487694930801808355e-08,-1.772991595316852472e-08,6.691536140441894931e-01,-5.160185157967078057e-07,-9.856014529492155285e-13,-4.021287918090802549e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.458713200008787396e-08,-1.738452397148648901e-08,6.937555503845215243e-01,-2.633633226997359598e-07,-8.410752385288005999e-13,-4.018427371978788187e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.417983980900316495e-08,-1.689912778601865152e-08,7.176180267333982510e-01,-2.901829723298314296e-08,-7.751802725983071347e-13,-4.015923023223943567e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.362253669867641359e-08,-1.623496473257546419e-08,7.421887207031250266e-01,2.246238308704374261e-07,-1.050801782062151961e-12,-4.013597011566269579e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.952748422510922362e-06,4.716738767456264252e-06,7.647145271301267755e-01,-6.788016253259840926e-01,6.074740012622961011e-02,-3.412974632975744438e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.619669497013092366e-05,6.291060708463191986e-05,7.841619300842284090e-01,-9.349523267439393548e-01,1.054041528318085813e-01,-2.842204222224567811e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.842857107520103585e-04,3.451297432184219274e-04,8.021774482727050959e-01,-7.919259283087813905e-01,1.212111186785659739e-01,-3.062359581024130417e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.130102649331092600e-03,9.612499177455902013e-04,8.208516311645509544e-01,-4.573542603234564963e-01,1.596672534284767075e-01,-3.400941658318202609e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.378289997577666751e-03,1.912097334861755267e-03,8.402122879028322000e-01,-2.410674266966373810e-02,2.638351898170051557e-01,-3.806881145525321752e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.185724258422851736e-03,3.166822195053100100e-03,8.603914260864258257e-01,4.426060722973817474e-01,4.652628769238228990e-01,-4.241951822801921956e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.661778092384338171e-03,4.712508916854857462e-03,8.819994163513181773e-01,9.734876332185582459e-01,7.648647256016406493e-01,-4.630997036119010701e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.735484719276427459e-03,6.424227952957153528e-03,9.040799331665038130e-01,1.524567192218120093e+00,1.142201447915762280e+00,-4.763737239053587480e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.326468706130981383e-02,8.196477890014647674e-03,9.252377128601072531e-01,2.047215082017577625e+00,1.544776843693391299e+00,-4.566399769072067016e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.705334424972533916e-02,9.903512001037596824e-03,9.443590736389160245e-01,2.506939763057441706e+00,1.913306803778864085e+00,-4.316613132611072601e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.131836652755737457e-02,1.158388614654540932e-02,9.628621673583984686e-01,2.927486605040785506e+00,2.245863689933328189e+00,-4.068374787509557500e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.579534053802490234e-02,1.307361006736755191e-02,9.799964904785156694e-01,3.283663329605046588e+00,2.518576227290808767e+00,-3.851364518157184946e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.073056459426879924e-02,1.439591884613037123e-02,9.971083831787109775e-01,3.596474715932391764e+00,2.757821258628731176e+00,-3.655578275651924169e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.579823255538940041e-02,1.541456341743469016e-02,1.013393096923828063e+00,3.846047509608233383e+00,2.919691248628526026e+00,-3.485578071254224586e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.124062061309814731e-02,1.617809891700744754e-02,1.029429473876953161e+00,4.085587649678656064e+00,2.966372723649014276e+00,-3.278183184975778985e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.685496807098388922e-02,1.666557312011718653e-02,1.044332084655761772e+00,4.344543573653095514e+00,2.902763782933048820e+00,-3.059451687090152472e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.243663787841797153e-02,1.688969373703002805e-02,1.057601165771484331e+00,4.620153191776449120e+00,2.748737526362384553e+00,-2.849822898744319932e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.830092906951904463e-02,1.687864065170288294e-02,1.070084381103515669e+00,4.913907475817204329e+00,2.512134306763199820e+00,-2.644044119029444584e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.426217555999755304e-02,1.663690090179443040e-02,1.081481208801269300e+00,5.195052306763564332e+00,2.222014897136491030e+00,-2.454679573264160641e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.030491828918455921e-02,1.618000388145446680e-02,1.091937675476073899e+00,5.444586861315213966e+00,1.911312500166230333e+00,-2.284203304938748680e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.641577243804929809e-02,1.552386641502380600e-02,1.101600494384765705e+00,5.653099649701795570e+00,1.612760095042237385e+00,-2.133088260173798378e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.240101814270019143e-02,1.471159100532531266e-02,1.110346069335937491e+00,5.816208976695134147e+00,1.358752782578820817e+00,-2.004005688018137388e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.843026161193845436e-02,1.374091029167175300e-02,1.118575401306151962e+00,5.945996236262872436e+00,1.152730773872154613e+00,-1.890772566698118107e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.449563026428224599e-02,1.262556076049804916e-02,1.126377868652344016e+00,6.049516593697093825e+00,9.968643341755484277e-01,-1.792150853715338776e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.005903720855712835e-01,1.137857198715210016e-02,1.133827285766601634e+00,6.133318952215880415e+00,8.850922651650409145e-01,-1.706363739450644790e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.068945693969726440e-01,9.969007372856140275e-03,1.141197395324707209e+00,6.204506268824012238e+00,8.045621051975968552e-01,-1.629760348343084919e+00,0.000000000000000000e+00
