t, X, Y, Z, V_X, V_Y, V_Z
0.000000000000000000e+00,-1.465228348970409877e-01,1.663000488281250000e+01,9.555369615554799856e-02,-1.785756230354309970e+00,-1.785756230354309970e+00,-1.785756230354309970e+00
0.000000000000000000e+00,3.889518231153499955e-02,3.596945190429689632e+01,1.710132509469990125e-01,-1.784811496734620029e+00,-1.784811496734620029e+00,-1.784811496734620029e+00
0.000000000000000000e+00,-5.551439896225900117e-02,4.470914459228520599e+01,-6.627821177244200279e-02,-1.806235432624820225e+00,-1.806235432624820225e+00,-1.806235432624820225e+00
0.000000000000000000e+00,2.602491900324799615e-02,7.286807250976559658e+01,-1.329067051410680045e-01,-1.796079397201540084e+00,-1.796079397201540084e+00,-1.796079397201540084e+00
0.000000000000000000e+00,-6.067191436886799211e-02,4.075062942504879260e+01,-1.018732264637949997e-01,-1.800308704376220037e+00,-1.800308704376220037e+00,-1.800308704376220037e+00
0.000000000000000000e+00,-2.958064340054999963e-02,5.199772262573240056e+01,-1.964935362339019775e-01,-1.777243494987489791e+00,-1.777243494987489791e+00,-1.777243494987489791e+00
0.000000000000000000e+00,-3.014890104532300108e-02,6.215077972412110086e+01,3.739955276250799682e-02,-1.810802936553959741e+00,-1.810802936553959741e+00,-1.810802936553959741e+00
0.000000000000000000e+00,-8.553576469421399209e-02,2.865117073059080255e+01,-9.545619040727600091e-02,-1.798275828361510120e+00,-1.798275828361510120e+00,-1.798275828361510120e+00
0.000000000000000000e+00,-9.306760132312801026e-02,2.522402000427250002e+01,1.155301108956339889e-01,-1.793267607688900034e+00,-1.793267607688900034e+00,-1.793267607688900034e+00
0.000000000000000000e+00,-3.298253566026700112e-02,7.733412170410159092e+01,-1.769326813518999966e-02,-1.811638474464419835e+00,-1.811638474464419835e+00,-1.811638474464419835e+00
0.000000000000000000e+00,-1.593966186046600064e-01,1.527623176574709873e+01,7.491419464349799440e-02,-1.785414218902589889e+00,-1.785414218902589889e+00,-1.785414218902589889e+00
0.000000000000000000e+00,-1.572164893150330145e-01,1.549165248870850142e+01,9.907919913530399691e-02,-1.782266497612000178e+00,-1.782266497612000178e+00,-1.782266497612000178e+00
0.000000000000000000e+00,-1.355465501546860019e-01,1.797419357299810017e+01,-7.835375145078000286e-03,-1.796640276908870071e+00,-1.796640276908870071e+00,-1.796640276908870071e+00
0.000000000000000000e+00,-3.198999911546700214e-02,7.660272979736329546e+01,3.189886361360599887e-02,-1.811052203178409981e+00,-1.811052203178409981e+00,-1.811052203178409981e+00
0.000000000000000000e+00,-1.259202212095260065e-01,1.933799934387210229e+01,-1.293182224035260008e-01,-1.783921122550959915e+00,-1.783921122550959915e+00,-1.783921122550959915e+00
0.000000000000000000e+00,-5.827572569251099344e-02,4.244167709350589490e+01,-1.390819251537319945e-01,-1.792465209960939942e+00,-1.792465209960939942e+00,-1.792465209960939942e+00
0.000000000000000000e+00,1.471206247806549905e-01,4.921946716308590197e+01,1.257106065750120127e-01,-1.778437137603759988e+00,-1.778437137603759988e+00,-1.778437137603759988e+00
0.000000000000000000e+00,-1.420513987541200118e-01,1.642327499389650214e+01,1.383802145719530141e-01,-1.777927875518799938e+00,-1.777927875518799938e+00,-1.777927875518799938e+00
0.000000000000000000e+00,-2.361816763877869763e-01,1.030891323089599965e+01,-6.152442097663900905e-02,-1.760067582130430131e+00,-1.760067582130430131e+00,-1.760067582130430131e+00
0.000000000000000000e+00,-4.939886555075700264e-02,4.865170669555660510e+01,-2.015314102172850175e-01,-1.774129629135129838e+00,-1.774129629135129838e+00,-1.774129629135129838e+00
0.000000000000000000e+00,1.299769282341000087e-01,6.100496292114259944e+01,1.003705561161040011e-01,-1.787903428077699752e+00,-1.787903428077699752e+00,-1.787903428077699752e+00
0.000000000000000000e+00,-5.532747879624400067e-02,4.495705413818360086e+01,2.147646248340600098e-02,-1.809805512428280139e+00,-1.809805512428280139e+00,-1.809805512428280139e+00
