t, X, Y, Z, V_X, V_Y, V_Z
0.000000000000000000e+00,-9.997580866959767665e-01,-4.375713601400986197e-01,-1.340739720520036649e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.986781996022320307e-01,-4.362398037133111139e-01,-1.381102086175332311e-01,1.999999999999999833e-01,1.999999999999999833e-01,1.999999999999999833e-01
0.000000000000000000e+00,-9.993444826116362201e-01,-4.356963099120377825e-01,-1.367061042356659817e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.985607869784152157e-01,-4.341683696446992369e-01,-1.406660326451731891e-01,-1.999999999999999833e-01,-1.999999999999999833e-01,-1.999999999999999833e-01
0.000000000000000000e+00,-9.990369939747415495e-01,-4.337940807437215551e-01,-1.380409026256676774e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.989476517050468463e-01,-4.098041349698722802e-01,-1.384619277060354925e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.982571683975471899e-01,-4.083003970628775736e-01,-1.365203981541064371e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
0.000000000000000000e+00,-9.982059002618861587e-01,-4.083003970628775736e-01,-1.403123634530335784e-01,-1.999999999999999833e-01,-1.999999999999999833e-01,-1.999999999999999833e-01
0.000000000000000000e+00,-9.981104466220379612e-01,-4.064463651970319225e-01,-1.431292559487157279e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.736818076087874196e-01,-4.108021691769953576e-01,-1.592289206463638473e-01,1.999999999999999833e-01,1.999999999999999833e-01,1.999999999999999833e-01
0.000000000000000000e+00,-9.730588058332856338e-01,-4.112760278446989659e-01,-1.569174001982480693e-01,-1.999999999999999833e-01,-1.999999999999999833e-01,-1.999999999999999833e-01
0.000000000000000000e+00,-9.735227902430599878e-01,-4.108811456216125424e-01,-1.579387058951643441e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.719106127951188112e-01,-4.100143106640831703e-01,-1.549695100587762386e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
