t,X,Y,Z,V_X,V_Y,V_Z
0.000000000000000000e+00,2.799999952316284180e+00,-4.900000095367431641e+00,0.000000000000000000e+00,-8.500000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.200000047683715820e+00,-4.900000095367431641e+00,0.000000000000000000e+00,-8.500000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.199999809265136719e+00,-4.900000095367431641e+00,0.000000000000000000e+00,-8.500000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.199999809265136719e+00,-4.900000095367431641e+00,0.000000000000000000e+00,-8.500000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.800000190734863281e+00,-4.300000190734863281e+00,0.000000000000000000e+00,-8.500000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,8.699999809265136719e+00,0.000000000000000000e+00,-8.750000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.199999809265136719e+00,-9.500000000000000000e+00,0.000000000000000000e+00,-8.250000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,-1.069999980926513672e+01,0.000000000000000000e+00,-8.250000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.139999961853027344e+01,-8.899999618530273438e+00,0.000000000000000000e+00,-8.500000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.019999980926513672e+01,1.150000000000000000e+01,0.000000000000000000e+00,-9.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.319999980926513672e+01,8.100000381469726562e+00,0.000000000000000000e+00,-8.750000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,-9.100000381469726562e+00,0.000000000000000000e+00,-8.500000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,-1.089999961853027344e+01,0.000000000000000000e+00,-8.250000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.460000038146972656e+01,-7.500000000000000000e+00,0.000000000000000000e+00,-1.025000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.260000038146972656e+01,1.130000019073486328e+01,0.000000000000000000e+00,-8.750000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.439999961853027344e+01,1.130000019073486328e+01,0.000000000000000000e+00,-8.750000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.620000076293945312e+01,9.500000000000000000e+00,0.000000000000000000e+00,-9.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.820000076293945312e+01,-7.699999809265136719e+00,0.000000000000000000e+00,-8.500000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00
