t, X, Y, Z, X, Y, Z, traj_id
0.000000000000000000e+00,-1.503475345998594632e-08,-1.791796989891736355e-08,6.206175041198730424e-01,-1.503475345998594632e-08,-1.791796989891736355e-08,6.206175041198730424e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.502770828665234096e-08,-1.790958208403026286e-08,6.445332527160644309e-01,-1.502770828665234096e-08,-1.790958208403026286e-08,6.445332527160644309e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.487694930801808355e-08,-1.772991595316852472e-08,6.691536140441894931e-01,-1.487694930801808355e-08,-1.772991595316852472e-08,6.691536140441894931e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.458713200008787396e-08,-1.738452397148648901e-08,6.937555503845215243e-01,-1.458713200008787396e-08,-1.738452397148648901e-08,6.937555503845215243e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.417983980900316495e-08,-1.689912778601865152e-08,7.176180267333982510e-01,-1.417983980900316495e-08,-1.689912778601865152e-08,7.176180267333982510e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.362253669867641359e-08,-1.623496473257546419e-08,7.421887207031250266e-01,-1.362253669867641359e-08,-1.623496473257546419e-08,7.421887207031250266e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.952748422510922362e-06,4.716738767456264252e-06,7.647145271301267755e-01,4.952748422510922362e-06,4.716738767456264252e-06,7.647145271301267755e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.619669497013092366e-05,6.291060708463191986e-05,7.841619300842284090e-01,6.619669497013092366e-05,6.291060708463191986e-05,7.841619300842284090e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.842857107520103585e-04,3.451297432184219274e-04,8.021774482727050959e-01,3.842857107520103585e-04,3.451297432184219274e-04,8.021774482727050959e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.130102649331092600e-03,9.612499177455902013e-04,8.208516311645509544e-01,1.130102649331092600e-03,9.612499177455902013e-04,8.208516311645509544e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.378289997577666751e-03,1.912097334861755267e-03,8.402122879028322000e-01,2.378289997577666751e-03,1.912097334861755267e-03,8.402122879028322000e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.185724258422851736e-03,3.166822195053100100e-03,8.603914260864258257e-01,4.185724258422851736e-03,3.166822195053100100e-03,8.603914260864258257e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.661778092384338171e-03,4.712508916854857462e-03,8.819994163513181773e-01,6.661778092384338171e-03,4.712508916854857462e-03,8.819994163513181773e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.735484719276427459e-03,6.424227952957153528e-03,9.040799331665038130e-01,9.735484719276427459e-03,6.424227952957153528e-03,9.040799331665038130e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.326468706130981383e-02,8.196477890014647674e-03,9.252377128601072531e-01,1.326468706130981383e-02,8.196477890014647674e-03,9.252377128601072531e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.705334424972533916e-02,9.903512001037596824e-03,9.443590736389160245e-01,1.705334424972533916e-02,9.903512001037596824e-03,9.443590736389160245e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.131836652755737457e-02,1.158388614654540932e-02,9.628621673583984686e-01,2.131836652755737457e-02,1.158388614654540932e-02,9.628621673583984686e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.579534053802490234e-02,1.307361006736755191e-02,9.799964904785156694e-01,2.579534053802490234e-02,1.307361006736755191e-02,9.799964904785156694e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.073056459426879924e-02,1.439591884613037123e-02,9.971083831787109775e-01,3.073056459426879924e-02,1.439591884613037123e-02,9.971083831787109775e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.579823255538940041e-02,1.541456341743469016e-02,1.013393096923828063e+00,3.579823255538940041e-02,1.541456341743469016e-02,1.013393096923828063e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.124062061309814731e-02,1.617809891700744754e-02,1.029429473876953161e+00,4.124062061309814731e-02,1.617809891700744754e-02,1.029429473876953161e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.685496807098388922e-02,1.666557312011718653e-02,1.044332084655761772e+00,4.685496807098388922e-02,1.666557312011718653e-02,1.044332084655761772e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.243663787841797153e-02,1.688969373703002805e-02,1.057601165771484331e+00,5.243663787841797153e-02,1.688969373703002805e-02,1.057601165771484331e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.830092906951904463e-02,1.687864065170288294e-02,1.070084381103515669e+00,5.830092906951904463e-02,1.687864065170288294e-02,1.070084381103515669e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.426217555999755304e-02,1.663690090179443040e-02,1.081481208801269300e+00,6.426217555999755304e-02,1.663690090179443040e-02,1.081481208801269300e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.030491828918455921e-02,1.618000388145446680e-02,1.091937675476073899e+00,7.030491828918455921e-02,1.618000388145446680e-02,1.091937675476073899e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.641577243804929809e-02,1.552386641502380600e-02,1.101600494384765705e+00,7.641577243804929809e-02,1.552386641502380600e-02,1.101600494384765705e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.240101814270019143e-02,1.471159100532531266e-02,1.110346069335937491e+00,8.240101814270019143e-02,1.471159100532531266e-02,1.110346069335937491e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.843026161193845436e-02,1.374091029167175300e-02,1.118575401306151962e+00,8.843026161193845436e-02,1.374091029167175300e-02,1.118575401306151962e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.449563026428224599e-02,1.262556076049804916e-02,1.126377868652344016e+00,9.449563026428224599e-02,1.262556076049804916e-02,1.126377868652344016e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.005903720855712835e-01,1.137857198715210016e-02,1.133827285766601634e+00,1.005903720855712835e-01,1.137857198715210016e-02,1.133827285766601634e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.068945693969726440e-01,9.969007372856140275e-03,1.141197395324707209e+00,1.068945693969726440e-01,9.969007372856140275e-03,1.141197395324707209e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.132187271118164085e-01,8.445022106170655546e-03,1.148312530517577867e+00,1.132187271118164085e-01,8.445022106170655546e-03,1.148312530517577867e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.195584583282470748e-01,6.817927360534667761e-03,1.155216064453125302e+00,1.195584583282470748e-01,6.817927360534667761e-03,1.155216064453125302e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.257231712341308483e-01,5.149803161621092917e-03,1.161747779846191486e+00,1.257231712341308483e-01,5.149803161621092917e-03,1.161747779846191486e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.320834255218505671e-01,3.348568677902221888e-03,1.168332138061523473e+00,1.320834255218505671e-01,3.348568677902221888e-03,1.168332138061523473e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.382627010345458818e-01,1.527947038412094021e-03,1.174603500366210973e+00,1.382627010345458818e-01,1.527947038412094021e-03,1.174603500366210973e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.444459629058837680e-01,-3.571213781833648443e-04,1.180774955749511745e+00,1.444459629058837680e-01,-3.571213781833648443e-04,1.180774955749511745e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.506315708160400335e-01,-2.300605326890945573e-03,1.186860237121581951e+00,1.506315708160400335e-01,-2.300605326890945573e-03,1.186860237121581951e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.568181228637695324e-01,-4.297127723693849183e-03,1.192870559692383203e+00,1.568181228637695324e-01,-4.297127723693849183e-03,1.192870559692383203e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.631920051574707042e-01,-6.404568552970886335e-03,1.198994522094726456e+00,1.631920051574707042e-01,-6.404568552970886335e-03,1.198994522094726456e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.695647430419921775e-01,-8.558565974235533141e-03,1.205057144165039062e+00,1.695647430419921775e-01,-8.558565974235533141e-03,1.205057144165039062e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.757481384277343739e-01,-1.068979740142822314e-02,1.210889053344726518e+00,1.757481384277343739e-01,-1.068979740142822314e-02,1.210889053344726518e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.819291114807128906e-01,-1.285759806632995675e-02,1.216674385070801057e+00,1.819291114807128906e-01,-1.285759806632995675e-02,1.216674385070801057e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.881071662902832065e-01,-1.505894541740417265e-02,1.222417030334472576e+00,1.881071662902832065e-01,-1.505894541740417265e-02,1.222417030334472576e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.942819976806640647e-01,-1.729116559028625461e-02,1.228120193481445410e+00,1.942819976806640647e-01,-1.729116559028625461e-02,1.228120193481445410e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.004532814025878629e-01,-1.955187082290649192e-02,1.233786621093750036e+00,2.004532814025878629e-01,-1.955187082290649192e-02,1.233786621093750036e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.068076515197753429e-01,-2.190865755081177271e-02,1.239588088989257875e+00,2.068076515197753429e-01,-2.190865755081177271e-02,1.239588088989257875e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.129711341857910278e-01,-2.422099828720092676e-02,1.245185050964355389e+00,2.129711341857910278e-01,-2.422099828720092676e-02,1.245185050964355389e+00,0.000000000000000000e+00
