t,  X,  Y,  Z,  X.1,  Y.1,  Z.1,  traj_id
0.000000000000000000e+00,-1.503475345998594302e-08,-1.791796989891736355e-08,6.206175041198730424e-01,-1.503475345998594302e-08,-1.791796989891736355e-08,6.206175041198730424e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.502770828665234096e-08,-1.790958208403026286e-08,6.445332527160644309e-01,-1.502770828665234096e-08,-1.790958208403026286e-08,6.445332527160644309e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.487694930801808521e-08,-1.772991595316852472e-08,6.691536140441896041e-01,-1.487694930801808521e-08,-1.772991595316852472e-08,6.691536140441896041e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.458713200008787230e-08,-1.738452397148649232e-08,6.937555503845215243e-01,-1.458713200008787230e-08,-1.738452397148649232e-08,6.937555503845215243e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.417983980900316495e-08,-1.689912778601865152e-08,7.176180267333982510e-01,-1.417983980900316495e-08,-1.689912778601865152e-08,7.176180267333982510e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.362253669867641359e-08,-1.623496473257546088e-08,7.421887207031250266e-01,-1.362253669867641359e-08,-1.623496473257546088e-08,7.421887207031250266e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.952748422510921515e-06,4.716738767456264252e-06,7.647145271301266645e-01,4.952748422510921515e-06,4.716738767456264252e-06,7.647145271301266645e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.619669497013092366e-05,6.291060708463191986e-05,7.841619300842285201e-01,6.619669497013092366e-05,6.291060708463191986e-05,7.841619300842285201e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.842857107520103043e-04,3.451297432184218732e-04,8.021774482727052069e-01,3.842857107520103043e-04,3.451297432184218732e-04,8.021774482727052069e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.130102649331092600e-03,9.612499177455902013e-04,8.208516311645509544e-01,1.130102649331092600e-03,9.612499177455902013e-04,8.208516311645509544e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.185724258422851736e-03,3.166822195053100100e-03,8.603914260864257146e-01,4.185724258422851736e-03,3.166822195053100100e-03,8.603914260864257146e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.661778092384338171e-03,4.712508916854857462e-03,8.819994163513179553e-01,6.661778092384338171e-03,4.712508916854857462e-03,8.819994163513179553e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.735484719276427459e-03,6.424227952957153528e-03,9.040799331665038130e-01,9.735484719276427459e-03,6.424227952957153528e-03,9.040799331665038130e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.326468706130981036e-02,8.196477890014645939e-03,9.252377128601072531e-01,1.326468706130981036e-02,8.196477890014645939e-03,9.252377128601072531e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.131836652755737457e-02,1.158388614654540759e-02,9.628621673583983576e-01,2.131836652755737457e-02,1.158388614654540759e-02,9.628621673583983576e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.579534053802490234e-02,1.307361006736755538e-02,9.799964904785154474e-01,2.579534053802490234e-02,1.307361006736755538e-02,9.799964904785154474e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.579823255538940041e-02,1.541456341743469016e-02,1.013393096923828063e+00,3.579823255538940041e-02,1.541456341743469016e-02,1.013393096923828063e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.124062061309814731e-02,1.617809891700745101e-02,1.029429473876953383e+00,4.124062061309814731e-02,1.617809891700745101e-02,1.029429473876953383e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.685496807098388922e-02,1.666557312011718653e-02,1.044332084655761550e+00,4.685496807098388922e-02,1.666557312011718653e-02,1.044332084655761550e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.243663787841797153e-02,1.688969373703002805e-02,1.057601165771484331e+00,5.243663787841797153e-02,1.688969373703002805e-02,1.057601165771484331e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.830092906951903770e-02,1.687864065170288294e-02,1.070084381103515669e+00,5.830092906951903770e-02,1.687864065170288294e-02,1.070084381103515669e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.426217555999755304e-02,1.663690090179442693e-02,1.081481208801269300e+00,6.426217555999755304e-02,1.663690090179442693e-02,1.081481208801269300e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.030491828918455921e-02,1.618000388145446680e-02,1.091937675476073899e+00,7.030491828918455921e-02,1.618000388145446680e-02,1.091937675476073899e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.641577243804929809e-02,1.552386641502380600e-02,1.101600494384765705e+00,7.641577243804929809e-02,1.552386641502380600e-02,1.101600494384765705e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.843026161193845436e-02,1.374091029167175126e-02,1.118575401306151962e+00,8.843026161193845436e-02,1.374091029167175126e-02,1.118575401306151962e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.449563026428223211e-02,1.262556076049804916e-02,1.126377868652344016e+00,9.449563026428223211e-02,1.262556076049804916e-02,1.126377868652344016e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.068945693969726440e-01,9.969007372856138541e-03,1.141197395324707209e+00,1.068945693969726440e-01,9.969007372856138541e-03,1.141197395324707209e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.195584583282470748e-01,6.817927360534666893e-03,1.155216064453125302e+00,1.195584583282470748e-01,6.817927360534666893e-03,1.155216064453125302e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.257231712341308483e-01,5.149803161621092917e-03,1.161747779846191486e+00,1.257231712341308483e-01,5.149803161621092917e-03,1.161747779846191486e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.444459629058837680e-01,-3.571213781833648985e-04,1.180774955749511523e+00,1.444459629058837680e-01,-3.571213781833648985e-04,1.180774955749511523e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.506315708160400335e-01,-2.300605326890945140e-03,1.186860237121581951e+00,1.506315708160400335e-01,-2.300605326890945140e-03,1.186860237121581951e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.568181228637695324e-01,-4.297127723693849183e-03,1.192870559692383203e+00,1.568181228637695324e-01,-4.297127723693849183e-03,1.192870559692383203e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.631920051574707042e-01,-6.404568552970886335e-03,1.198994522094726456e+00,1.631920051574707042e-01,-6.404568552970886335e-03,1.198994522094726456e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.695647430419921498e-01,-8.558565974235533141e-03,1.205057144165039285e+00,1.695647430419921498e-01,-8.558565974235533141e-03,1.205057144165039285e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.757481384277343739e-01,-1.068979740142822314e-02,1.210889053344726518e+00,1.757481384277343739e-01,-1.068979740142822314e-02,1.210889053344726518e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.819291114807128906e-01,-1.285759806632995675e-02,1.216674385070800835e+00,1.819291114807128906e-01,-1.285759806632995675e-02,1.216674385070800835e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.881071662902832065e-01,-1.505894541740417265e-02,1.222417030334472132e+00,1.881071662902832065e-01,-1.505894541740417265e-02,1.222417030334472132e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.004532814025878629e-01,-1.955187082290649192e-02,1.233786621093750036e+00,2.004532814025878629e-01,-1.955187082290649192e-02,1.233786621093750036e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.068076515197753151e-01,-2.190865755081177271e-02,1.239588088989257875e+00,2.068076515197753151e-01,-2.190865755081177271e-02,1.239588088989257875e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.129711341857910556e-01,-2.422099828720092676e-02,1.245185050964354945e+00,2.129711341857910556e-01,-2.422099828720092676e-02,1.245185050964354945e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.193171501159667802e-01,-2.662731885910034346e-02,1.250917396545409899e+00,2.193171501159667802e-01,-2.662731885910034346e-02,1.250917396545409899e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.256586837768554121e-01,-2.905639886856078644e-02,1.256615753173828010e+00,2.256586837768554121e-01,-2.905639886856078644e-02,1.256615753173828010e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.318093299865721935e-01,-3.143457651138304582e-02,1.262113952636718661e+00,2.318093299865721935e-01,-3.143457651138304582e-02,1.262113952636718661e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.444693565368651900e-01,-3.639485836029052873e-02,1.273339920043945028e+00,2.444693565368651900e-01,-3.639485836029052873e-02,1.273339920043945028e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.507919883728027544e-01,-3.890368700027465459e-02,1.278897743225097861e+00,2.507919883728027544e-01,-3.890368700027465459e-02,1.278897743225097861e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.569237327575683572e-01,-4.135641574859619252e-02,1.284254150390625071e+00,2.569237327575683572e-01,-4.135641574859619252e-02,1.284254150390625071e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.754726600646972834e-01,-4.889504432678225265e-02,1.300215797424316921e+00,2.754726600646972834e-01,-4.889504432678225265e-02,1.300215797424316921e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.817661094665527277e-01,-5.149433135986328930e-02,1.305209197998046911e+00,2.817661094665527277e-01,-5.149433135986328930e-02,1.305209197998046911e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.880683135986328303e-01,-5.409698963165283231e-02,1.308955993652344052e+00,2.880683135986328303e-01,-5.409698963165283231e-02,1.308955993652344052e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.942539215087890403e-01,-5.660061359405516024e-02,1.312984313964843830e+00,2.942539215087890403e-01,-5.660061359405516024e-02,1.312984313964843830e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.005806922912597767e-01,-5.903205394744872464e-02,1.318121566772460618e+00,3.005806922912597767e-01,-5.903205394744872464e-02,1.318121566772460618e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.071244049072265336e-01,-6.132413864135741188e-02,1.324812812805175710e+00,3.071244049072265336e-01,-6.132413864135741188e-02,1.324812812805175710e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.141355895996093550e-01,-6.348227024078369196e-02,1.333198471069335866e+00,3.141355895996093550e-01,-6.348227024078369196e-02,1.333198471069335866e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.213751602172851829e-01,-6.543943881988524558e-02,1.341688270568847541e+00,3.213751602172851829e-01,-6.543943881988524558e-02,1.341688270568847541e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.364183044433592951e-01,-6.879891395568846213e-02,1.356873321533203169e+00,3.364183044433592951e-01,-6.879891395568846213e-02,1.356873321533203169e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.518425750732421808e-01,-7.145265579223630814e-02,1.368939514160156357e+00,3.518425750732421808e-01,-7.145265579223630814e-02,1.368939514160156357e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.598556518554687500e-01,-7.257424354553222712e-02,1.374101028442383132e+00,3.598556518554687500e-01,-7.257424354553222712e-02,1.374101028442383132e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.679732131958008412e-01,-7.355693817138669877e-02,1.378733711242675408e+00,3.679732131958008412e-01,-7.355693817138669877e-02,1.378733711242675408e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.759383010864256747e-01,-7.438665866851808250e-02,1.382803802490233824e+00,3.759383010864256747e-01,-7.438665866851808250e-02,1.382803802490233824e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.842217636108397616e-01,-7.512236118316648059e-02,1.386629791259765154e+00,3.842217636108397616e-01,-7.512236118316648059e-02,1.386629791259765154e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.009805679321288840e-01,-7.626545906066894975e-02,1.393401260375976891e+00,4.009805679321288840e-01,-7.626545906066894975e-02,1.393401260375976891e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.094377899169920343e-01,-7.668948650360109254e-02,1.396441040039061887e+00,4.094377899169920343e-01,-7.668948650360109254e-02,1.396441040039061887e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.262208557128904785e-01,-7.727474689483641856e-02,1.401928825378418342e+00,4.262208557128904785e-01,-7.727474689483641856e-02,1.401928825378418342e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.347857284545897372e-01,-7.745829105377195767e-02,1.404509696960449139e+00,4.347857284545897372e-01,-7.745829105377195767e-02,1.404509696960449139e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.433765411376953125e-01,-7.757349967956542192e-02,1.406980133056640714e+00,4.433765411376953125e-01,-7.757349967956542192e-02,1.406980133056640714e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.519893264770508123e-01,-7.762561798095700405e-02,1.409355125427245836e+00,4.519893264770508123e-01,-7.762561798095700405e-02,1.409355125427245836e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.603665924072266047e-01,-7.762025356292721889e-02,1.411581115722656099e+00,4.603665924072266047e-01,-7.762025356292721889e-02,1.411581115722656099e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.690130615234374134e-01,-7.756096839904787210e-02,1.413802413940429492e+00,4.690130615234374134e-01,-7.756096839904787210e-02,1.413802413940429492e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.776725769042968195e-01,-7.745061874389647105e-02,1.415958824157715235e+00,4.776725769042968195e-01,-7.745061874389647105e-02,1.415958824157715235e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.860878753662108975e-01,-7.729756832122802734e-02,1.417995414733886461e+00,4.860878753662108975e-01,-7.729756832122802734e-02,1.417995414733886461e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.203323745727539418e-01,-7.625697135925293968e-02,1.425775108337402619e+00,5.203323745727539418e-01,-7.625697135925293968e-02,1.425775108337402619e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.290335845947264914e-01,-7.589464187622070590e-02,1.427635002136230291e+00,5.290335845947264914e-01,-7.589464187622070590e-02,1.427635002136230291e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.377377700805664462e-01,-7.549480915069581299e-02,1.429450378417968404e+00,5.377377700805664462e-01,-7.549480915069581299e-02,1.429450378417968404e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.546394348144531028e-01,-7.461237430572509322e-02,1.432842407226561976e+00,5.546394348144531028e-01,-7.461237430572509322e-02,1.432842407226561976e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.630913543701171475e-01,-7.411748409271240456e-02,1.434467811584472674e+00,5.630913543701171475e-01,-7.411748409271240456e-02,1.434467811584472674e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.717993927001951970e-01,-7.356795787811278020e-02,1.436087265014648340e+00,5.717993927001951970e-01,-7.356795787811278020e-02,1.436087265014648340e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.805062484741211337e-01,-7.297454833984372280e-02,1.437642517089843697e+00,5.805062484741211337e-01,-7.297454833984372280e-02,1.437642517089843697e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.977371597290038752e-01,-7.169660091400145707e-02,1.444916381835937180e+00,5.977371597290038752e-01,-7.169660091400145707e-02,1.444916381835937180e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.063451004028320712e-01,-7.109322547912595713e-02,1.451744613647460325e+00,6.063451004028320712e-01,-7.109322547912595713e-02,1.451744613647460325e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.153470993041991743e-01,-7.052573204040527011e-02,1.459991683959960929e+00,6.153470993041991743e-01,-7.052573204040527011e-02,1.459991683959960929e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.245158767700196289e-01,-7.001768112182615855e-02,1.468898620605468164e+00,6.245158767700196289e-01,-7.001768112182615855e-02,1.468898620605468164e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.335726547241210538e-01,-6.957679271697995993e-02,1.477485809326171573e+00,6.335726547241210538e-01,-6.957679271697995993e-02,1.477485809326171573e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.430570220947264826e-01,-6.917230129241942749e-02,1.486006278991699459e+00,6.430570220947264826e-01,-6.917230129241942749e-02,1.486006278991699459e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.526840209960936834e-01,-6.881484985351564443e-02,1.494113159179687456e+00,6.526840209960936834e-01,-6.881484985351564443e-02,1.494113159179687456e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.624401092529297319e-01,-6.850151538848876787e-02,1.501804847717284730e+00,6.624401092529297319e-01,-6.850151538848876787e-02,1.501804847717284730e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.723102569580078347e-01,-6.822971343994141402e-02,1.509113273620605433e+00,6.723102569580078347e-01,-6.822971343994141402e-02,1.509113273620605433e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.920413970947264515e-01,-6.780715465545653076e-02,1.522558593750000133e+00,6.920413970947264515e-01,-6.780715465545653076e-02,1.522558593750000133e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.021718597412109908e-01,-6.764605998992920255e-02,1.528975639343261417e+00,7.021718597412109908e-01,-6.764605998992920255e-02,1.528975639343261417e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.226179504394532049e-01,-6.742159366607666793e-02,1.541154785156249707e+00,7.226179504394532049e-01,-6.742159366607666793e-02,1.541154785156249707e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.329160308837887605e-01,-6.735414028167723000e-02,1.546966323852539293e+00,7.329160308837887605e-01,-6.735414028167723000e-02,1.546966323852539293e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.429499816894531428e-01,-6.731471061706542636e-02,1.552454452514648420e+00,7.429499816894531428e-01,-6.731471061706542636e-02,1.552454452514648420e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.533217620849610441e-01,-6.729910850524900567e-02,1.557965354919433221e+00,7.533217620849610441e-01,-6.729910850524900567e-02,1.557965354919433221e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.738416290283203214e-01,-6.733649253845215565e-02,1.568438644409179572e+00,7.738416290283203214e-01,-6.733649253845215565e-02,1.568438644409179572e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.842878723144529607e-01,-6.738748550415038507e-02,1.573572692871093803e+00,7.842878723144529607e-01,-6.738748550415038507e-02,1.573572692871093803e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.947521209716796875e-01,-6.745866298675537442e-02,1.578591041564940900e+00,7.947521209716796875e-01,-6.745866298675537442e-02,1.578591041564940900e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.052313995361326526e-01,-6.754928588867188666e-02,1.583495521545410067e+00,8.052313995361326526e-01,-6.754928588867188666e-02,1.583495521545410067e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.157234954833983975e-01,-6.765886783599853183e-02,1.588286132812499973e+00,8.157234954833983975e-01,-6.765886783599853183e-02,1.588286132812499973e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.262262725830078480e-01,-6.778710365295409490e-02,1.592960357666015847e+00,8.262262725830078480e-01,-6.778710365295409490e-02,1.592960357666015847e+00,0.000000000000000000e+00
