t,X,Y,Z,V_X,V_Y,V_Z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945648074150085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945648074150085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945648074150085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945648074150085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945648074150085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945648074150085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945648074150085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945648074150085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945648074150085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945648074150085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945648074150085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945648074150085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.117442618124186993e-03,8.284070645458996296e-04,-4.020517170429229736e-01,3.046193387620689183e-02,-6.622059946211745693e-03,-2.060966163582158839e-01
0.000000000000000000e+00,9.445417672395706177e-03,7.404058240354061127e-03,-4.475910067558288574e-01,1.033707679753062547e-01,-1.688001566578493928e-02,-7.558697128142143340e-01
0.000000000000000000e+00,2.842804975807666779e-02,2.341863140463829041e-02,-5.481181740760803223e-01,1.955476151855057021e-01,-2.072166844496278748e-02,-1.301244641780272326e+00
0.000000000000000000e+00,5.785475671291351318e-02,4.954219609498977661e-02,-6.984755992889404297e-01,2.968788289672530945e-01,-1.588375709585032602e-02,-1.793820736789313308e+00
0.000000000000000000e+00,9.831637144088745117e-02,8.673582226037979126e-02,-9.019928574562072754e-01,4.034870510900311347e-01,-8.001462087298433223e-03,-2.277518454935090642e+00
0.000000000000000000e+00,1.482558399438858032e-01,1.337437778711318970e-01,-1.153738260269165039e+00,5.084791688094988382e-01,-2.370114168694925638e-03,-2.756994664558754415e+00
0.000000000000000000e+00,2.068945765495300293e-01,1.898640990257263184e-01,-1.454149842262268066e+00,6.099700815975039880e-01,-1.758228400611794306e-03,-3.242238914873177613e+00
0.000000000000000000e+00,2.734769284725189209e-01,2.543622851371765137e-01,-1.804029822349548340e+00,7.068603178370063134e-01,-6.194981259863840961e-03,-3.731166718918106362e+00
0.000000000000000000e+00,3.472011089324951172e-01,3.264274001121520996e-01,-2.202527284622192383e+00,7.982598035956504079e-01,-1.368911250622451004e-02,-4.184524836957310256e+00
0.000000000000000000e+00,4.270346164703369141e-01,4.049879014492034912e-01,-2.641850948333740234e+00,8.831083755374051769e-01,-2.146841522200299002e-02,-4.484330242028667257e+00
0.000000000000000000e+00,5.113469362258911133e-01,4.883235096931457520e-01,-3.095261812210083008e+00,9.596810688472873219e-01,-2.708223620244920582e-02,-4.499117019738967826e+00
0.000000000000000000e+00,5.965182185173034668e-01,5.727754235267639160e-01,-3.534039258956909180e+00,1.025997113748507772e+00,-2.916727515379557989e-02,-4.470393332299317457e+00
0.000000000000000000e+00,6.873416900634765625e-01,6.630731225013732910e-01,-3.983178377151489258e+00,1.087340034851187909e+00,-2.775025408806242044e-02,-4.438810122585315376e+00
0.000000000000000000e+00,7.810139656066894531e-01,7.564228177070617676e-01,-4.429422855377197266e+00,1.142581738874602681e+00,-2.358025214808384673e-02,-4.409398944355001682e+00
0.000000000000000000e+00,8.773044347763061523e-01,8.525797128677368164e-01,-4.873002529144287109e+00,1.192564568331661912e+00,-1.801671645878361039e-02,-4.382348868689623700e+00
0.000000000000000000e+00,9.730764031410217285e-01,9.483905434608459473e-01,-5.301196098327636719e+00,1.236693542361134268e+00,-1.258828649812732126e-02,-4.358138955562711914e+00
0.000000000000000000e+00,1.073962450027465820e+00,1.049478173255920410e+00,-5.740142345428466797e+00,1.278259986596215425e+00,-7.991388835908330712e-03,-4.335084109316917456e+00
0.000000000000000000e+00,1.173883795738220215e+00,1.149741888046264648e+00,-6.164176940917968750e+00,1.315321250934345043e+00,-5.031657239634279577e-03,-4.314337361238124835e+00
0.000000000000000000e+00,1.275653123855590820e+00,1.251988768577575684e+00,-6.586373805999755859e+00,1.349563022241694554e+00,-3.636091654128481565e-03,-4.295017028074242127e+00
0.000000000000000000e+00,1.382324695587158203e+00,1.359285950660705566e+00,-7.019562244415283203e+00,1.382113504612473065e+00,-3.566908454179729127e-03,-4.276371449089614529e+00
0.000000000000000000e+00,1.490742564201354980e+00,1.468455910682678223e+00,-7.451020717620849609e+00,1.412283154106272809e+00,-4.399702347741230035e-03,-4.258849263269888219e+00
0.000000000000000000e+00,1.600820302963256836e+00,1.579405784606933594e+00,-7.880833625793457031e+00,1.440347927298000652e+00,-5.604031966697009537e-03,-4.242270779100649314e+00
0.000000000000000000e+00,1.712486147880554199e+00,1.692058086395263672e+00,-8.309062957763671875e+00,1.466547351266515919e+00,-6.734832374479693406e-03,-4.226454883450793787e+00
0.000000000000000000e+00,1.822331905364990234e+00,1.802966117858886719e+00,-8.723220825195312500e+00,1.490489864786412433e+00,-7.490418593987802076e-03,-4.211815215796776535e+00
0.000000000000000000e+00,1.936973452568054199e+00,1.918806314468383789e+00,-9.148416519165039062e+00,1.513563393051320372e+00,-7.816197656672407845e-03,-4.196955939591715534e+00
0.000000000000000000e+00,2.053076982498168945e+00,2.036211729049682617e+00,-9.572062492370605469e+00,1.535271739729692664e+00,-7.719513024070256968e-03,-4.182203138781586560e+00
0.000000000000000000e+00,2.167153596878051758e+00,2.151649951934814453e+00,-9.981708526611328125e+00,1.555103300329767846e+00,-7.356354675210785565e-03,-4.168424248143918653e+00
0.000000000000000000e+00,2.286195993423461914e+00,2.272031784057617188e+00,-1.037364864349365234e+01,1.088335918821978776e+00,7.915345162507714250e-02,-3.722104622912691507e+00
0.000000000000000000e+00,2.412370443344116211e+00,2.397593021392822266e+00,-1.071297454833984375e+01,9.595487028972157217e-01,1.981235664922896822e-01,-3.662351806288103084e+00
0.000000000000000000e+00,2.561951398849487305e+00,2.537935256958007812e+00,-1.105472087860107422e+01,1.033537991158010261e+00,3.417953003435563186e-01,-3.912854333449248934e+00
0.000000000000000000e+00,2.744919538497924805e+00,2.695356845855712891e+00,-1.141018867492675781e+01,1.251606935249790276e+00,5.225072035488013134e-01,-4.171572726219104688e+00
0.000000000000000000e+00,2.966815948486328125e+00,2.867594242095947266e+00,-1.178175354003906250e+01,1.560933623332239284e+00,7.537788210567613056e-01,-4.438409239429684128e+00
0.000000000000000000e+00,3.220373392105102539e+00,3.044161796569824219e+00,-1.215565681457519531e+01,1.878970563517862846e+00,1.037300460936135149e+00,-4.505534387825313125e+00
0.000000000000000000e+00,3.505094528198242188e+00,3.223708391189575195e+00,-1.252444934844970703e+01,2.170190494795076752e+00,1.352588497573544934e+00,-4.407126090710992372e+00
0.000000000000000000e+00,3.828566074371337891e+00,3.406516790390014648e+00,-1.289522171020507812e+01,2.428157830018340402e+00,1.678988186949011974e+00,-4.282048418709769599e+00
0.000000000000000000e+00,4.170668125152587891e+00,3.576820611953735352e+00,-1.324810886383056641e+01,2.642245773560313538e+00,1.974007604518059900e+00,-4.163571890164175393e+00
0.000000000000000000e+00,4.539069175720214844e+00,3.735165119171142578e+00,-1.359658241271972656e+01,2.829312307091409462e+00,2.232386744185359095e+00,-4.055267803093840051e+00
0.000000000000000000e+00,4.944078445434570312e+00,3.880845069885253906e+00,-1.395322608947753906e+01,3.000414514836510005e+00,2.453776001854594213e+00,-3.958018629884489048e+00
0.000000000000000000e+00,5.372244358062744141e+00,4.004130363464355469e+00,-1.430914974212646484e+01,3.152035768072440458e+00,2.635756636393571828e+00,-3.874127282450151810e+00
0.000000000000000000e+00,5.806949138641357422e+00,4.098451137542724609e+00,-1.465487194061279297e+01,3.279477842489577188e+00,2.776956158190110102e+00,-3.801774166532378540e+00
0.000000000000000000e+00,6.257034301757812500e+00,4.165224552154541016e+00,-1.499959373474121094e+01,3.389648767214369141e+00,2.838465318108329694e+00,-3.724080337055378553e+00
0.000000000000000000e+00,6.732683181762695312e+00,4.206265926361083984e+00,-1.534559249877929688e+01,3.524412063854096111e+00,2.803664970302246040e+00,-3.614896902120768640e+00
0.000000000000000000e+00,7.203297138214111328e+00,4.220933437347412109e+00,-1.566838264465332031e+01,3.695371575827350874e+00,2.688364791425637890e+00,-3.500574669763182545e+00
0.000000000000000000e+00,7.681044578552246094e+00,4.212486743927001953e+00,-1.597746849060058594e+01,3.900202054721269018e+00,2.505725266369720039e+00,-3.386341926311398520e+00
0.000000000000000000e+00,8.179433822631835938e+00,4.181313991546630859e+00,-1.628236770629882812e+01,4.126598542645812273e+00,2.264285042327621955e+00,-3.273308449670280673e+00
0.000000000000000000e+00,8.683018684387207031e+00,4.129074573516845703e+00,-1.657503318786621094e+01,4.345980492686764229e+00,1.991307531610691406e+00,-3.168376199339606902e+00
0.000000000000000000e+00,9.190896987915039062e+00,4.057512760162353516e+00,-1.685720634460449219e+01,4.541448297712840976e+00,1.713293430124366301e+00,-3.072961888860805235e+00
0.000000000000000000e+00,9.687207221984863281e+00,3.971185922622680664e+00,-1.712261962890625000e+01,4.701023876975333415e+00,1.461808840075831117e+00,-2.990039596899316976e+00
0.000000000000000000e+00,1.020139503479003906e+01,3.866447210311889648e+00,-1.738883018493652344e+01,4.834526944484047739e+00,1.238970754046128775e+00,-2.913617131897379142e+00
0.000000000000000000e+00,1.071790122985839844e+01,3.747189760208129883e+00,-1.764893531799316406e+01,4.941342449500062628e+00,1.060796433132145999e+00,-2.845948828344796233e+00
0.000000000000000000e+00,1.123625946044921875e+01,3.614835500717163086e+00,-1.790399360656738281e+01,5.027470160574770475e+00,9.264159931761544176e-01,-2.786153026277730760e+00
0.000000000000000000e+00,1.174076843261718750e+01,3.475090980529785156e+00,-1.814754486083984375e+01,5.096404871404963011e+00,8.310231156664038554e-01,-2.734715847167970448e+00
0.000000000000000000e+00,1.226168537139892578e+01,3.320654869079589844e+00,-1.839505195617675781e+01,5.156443604426501182e+00,7.584276483630532084e-01,-2.687747607302531705e+00
0.000000000000000000e+00,1.278346443176269531e+01,3.156685113906860352e+00,-1.863964843750000000e+01,5.208269244989732094e+00,7.014484901959531227e-01,-2.646293036619649985e+00
0.000000000000000000e+00,1.330588245391845703e+01,2.984164237976074219e+00,-1.888179969787597656e+01,5.253876636390351074e+00,6.513914688372198780e-01,-2.609674180027175883e+00
0.000000000000000000e+00,1.381336402893066406e+01,2.809376001358032227e+00,-1.911485099792480469e+01,5.293357533802430126e+00,6.040474421610542155e-01,-2.578100553816068174e+00
0.000000000000000000e+00,1.433651447296142578e+01,2.622497081756591797e+00,-1.935321617126464844e+01,5.329782378519108299e+00,5.539747672713856153e-01,-2.549347562997941186e+00
0.000000000000000000e+00,1.485982894897460938e+01,2.429419517517089844e+00,-1.959005165100097656e+01,5.362230723407118482e+00,5.025456988763506994e-01,-2.523855330279703324e+00
0.000000000000000000e+00,1.538319969177246094e+01,2.230767965316772461e+00,-1.982554817199707031e+01,5.390909819385249158e+00,4.512852776873178540e-01,-2.501205481138242259e+00
0.000000000000000000e+00,1.590653991699218750e+01,2.027096033096313477e+00,-2.005986404418945312e+01,5.416024993381943986e+00,4.023573805742226561e-01,-2.481030590538051861e+00
0.000000000000000000e+00,1.641438865661621094e+01,1.825079202651977539e+00,-2.028628349304199219e+01,5.437246014294125906e+00,3.590123221589200941e-01,-2.463450662908333033e+00
0.000000000000000000e+00,1.693747138977050781e+01,1.612900733947753906e+00,-2.051862907409667969e+01,5.456198277461033364e+00,3.199047305204063552e-01,-2.447223452794663245e+00
0.000000000000000000e+00,1.744497680664062500e+01,1.403405070304870605e+00,-2.074331283569335938e+01,5.472115486403422047e+00,2.878535908436167245e-01,-2.432970358120606136e+00
0.000000000000000000e+00,1.795226097106933594e+01,1.190724849700927734e+00,-2.096723556518554688e+01,5.485946404467864745e+00,2.613471717966542318e-01,-2.420029027440214087e+00
0.000000000000000000e+00,1.847466468811035156e+01,9.685652852058410645e-01,-2.119720649719238281e+01,5.498352334772764749e+00,2.390123815705814669e-01,-2.407879619201703569e+00
0.000000000000000000e+00,1.898144149780273438e+01,7.502518296241760254e-01,-2.141973114013671875e+01,5.508889359410829023e+00,2.211608547894946541e-01,-2.397040767791289273e+00
0.000000000000000000e+00,1.950329589843750000e+01,5.227909684181213379e-01,-2.164832305908203125e+01,5.518445529767728175e+00,2.055885912550330374e-01,-2.386705841745100809e+00
0.000000000000000000e+00,2.000952720642089844e+01,2.997650504112243652e-01,-2.186956214904785156e+01,5.526660269229572542e+00,1.923069759700466452e-01,-2.377367768199379672e+00
0.000000000000000000e+00,2.051548194885253906e+01,7.469419389963150024e-02,-2.209018898010253906e+01,5.533989381068817437e+00,1.801993914593638113e-01,-2.368599963159525146e+00
0.000000000000000000e+00,2.103648185729980469e+01,-1.591730415821075439e-01,-2.231686592102050781e+01,5.540738440515886154e+00,1.686402109734017607e-01,-2.359981889184275872e+00
0.000000000000000000e+00,2.155719375610351562e+01,-3.948995769023895264e-01,-2.254290390014648438e+01,5.546792700530117415e+00,1.578497976861519270e-01,-2.351717320645500209e+00
0.000000000000000000e+00,2.206231498718261719e+01,-6.253488659858703613e-01,-2.276167106628417969e+01,5.552105064405623125e+00,1.481210409673077155e-01,-2.344044321333308645e+00
0.000000000000000000e+00,2.256717300415039062e+01,-8.573257923126220703e-01,-2.297980690002441406e+01,5.556924895908432305e+00,1.393218889829226370e-01,-2.336566578988728882e+00
0.000000000000000000e+00,2.307176780700683594e+01,-1.090742230415344238e+00,-2.319729042053222656e+01,5.561317594361436356e+00,1.316224736499322923e-01,-2.329162920602225739e+00
0.000000000000000000e+00,2.359138679504394531e+01,-1.332659363746643066e+00,-2.342066001892089844e+01,5.565463703251417371e+00,1.249436905657539398e-01,-2.321304922465431630e+00
0.000000000000000000e+00,2.411073112487792969e+01,-1.575957536697387695e+00,-2.364327239990234375e+01,5.569286715275864275e+00,1.196273510654093375e-01,-2.313206782589504851e+00
0.000000000000000000e+00,2.461454963684082031e+01,-1.813369870185852051e+00,-2.385856056213378906e+01,5.572736789151436554e+00,1.158534315484285315e-01,-2.304754567660433739e+00
0.000000000000000000e+00,2.513337516784667969e+01,-2.059246540069580078e+00,-2.407950019836425781e+01,5.576085750890876547e+00,1.133633315375062178e-01,-2.295569935120413074e+00
0.000000000000000000e+00,2.565193939208984375e+01,-2.306387901306152344e+00,-2.429946899414062500e+01,5.579263062722461086e+00,1.124109486582642869e-01,-2.285619381257244065e+00
0.000000000000000000e+00,2.617023468017578125e+01,-2.554786443710327148e+00,-2.451834297180175781e+01,5.582308614563285865e+00,1.131747097360631393e-01,-2.274566466360950834e+00
0.000000000000000000e+00,2.667302513122558594e+01,-2.797093629837036133e+00,-2.472956848144531250e+01,5.585155583735131657e+00,1.159288365688830869e-01,-2.262083577330100681e+00
0.000000000000000000e+00,2.719072341918945312e+01,-3.047688245773315430e+00,-2.493177223205566406e+01,5.516198943076638272e+00,4.247390547877105682e-02,-2.085681838720775616e+00
0.000000000000000000e+00,2.770944595336914062e+01,-3.298138618469238281e+00,-2.507977485656738281e+01,5.483304175338631126e+00,-1.480311476465858700e-01,-1.824075438508756086e+00
0.000000000000000000e+00,2.823243713378906250e+01,-3.547438383102416992e+00,-2.517288208007812500e+01,5.511975559214739029e+00,-4.454682415672500673e-01,-1.578973559107750724e+00
0.000000000000000000e+00,2.876938247680664062e+01,-3.792149066925048828e+00,-2.524157524108886719e+01,5.566872188550649803e+00,-8.465199041749036368e-01,-1.870310134726878237e+00
0.000000000000000000e+00,2.933657264709472656e+01,-4.024640083312988281e+00,-2.533365631103515625e+01,5.604577072416718764e+00,-1.282515575151928600e+00,-2.408227761746909223e+00
0.000000000000000000e+00,2.993979644775390625e+01,-4.241182327270507812e+00,-2.544973182678222656e+01,5.649923171618086215e+00,-1.650953066218657117e+00,-2.869374264702245547e+00
0.000000000000000000e+00,3.057912635803222656e+01,-4.442417144775390625e+00,-2.557700729370117188e+01,5.795020497407507243e+00,-1.898029857229040829e+00,-3.042169086819929369e+00
0.000000000000000000e+00,3.124924087524414062e+01,-4.631114482879638672e+00,-2.569667625427246094e+01,6.046953801892488656e+00,-2.006403060183400200e+00,-2.968890540009203605e+00
0.000000000000000000e+00,3.194626617431640625e+01,-4.808812618255615234e+00,-2.580140304565429688e+01,6.364752844312824287e+00,-1.968620888362014432e+00,-2.782219918282764937e+00
0.000000000000000000e+00,3.266742706298828125e+01,-4.976333141326904297e+00,-2.588983535766601562e+01,6.706017364322981678e+00,-1.799804232305202589e+00,-2.550076241714887892e+00
0.000000000000000000e+00,3.341033172607421875e+01,-5.134203910827636719e+00,-2.596311569213867188e+01,7.033410129794800625e+00,-1.540486793315445357e+00,-2.308449710549203449e+00
0.000000000000000000e+00,3.417274475097656250e+01,-5.282838344573974609e+00,-2.602326202392578125e+01,7.322055109783637050e+00,-1.245182608024162807e+00,-2.076210059420667164e+00
0.000000000000000000e+00,3.492935180664062500e+01,-5.418625831604003906e+00,-2.607114982604980469e+01,7.556197943096098157e+00,-9.735864520528108024e-01,-1.868635368723546852e+00
0.000000000000000000e+00,3.570046234130859375e+01,-5.546413421630859375e+00,-2.611056518554687500e+01,7.747241369441298708e+00,-7.514167405792059329e-01,-1.682026198696946473e+00
