t,X,Y,Z,V_X,V_Y,V_Z
0.000000000000000000e+00,-1.000000000000000000e+00,-4.373064068947007943e-01,-1.361306419495010855e-01,-1.999999999999999556e-01,-1.999999999999999556e-01,-1.999999999999999556e-01
0.000000000000000000e+00,-9.997580866959766555e-01,-4.375713601400986752e-01,-1.340739720520036649e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.986781996022321417e-01,-4.362398037133110584e-01,-1.381102086175332033e-01,1.999999999999999556e-01,1.999999999999999556e-01,1.999999999999999556e-01
0.000000000000000000e+00,-9.990554838794343251e-01,-4.359255963594500516e-01,-1.375228277540800903e-01,-1.999999999999999556e-01,-1.999999999999999556e-01,-1.999999999999999556e-01
0.000000000000000000e+00,-9.993444826116359980e-01,-4.356963099120378935e-01,-1.367061042356659817e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.985607869784153268e-01,-4.341683696446992924e-01,-1.406660326451731891e-01,-1.999999999999999556e-01,-1.999999999999999556e-01,-1.999999999999999556e-01
0.000000000000000000e+00,-9.990369939747417716e-01,-4.337940807437214996e-01,-1.380409026256677052e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.989476517050469573e-01,-4.098041349698723357e-01,-1.384619277060354925e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.982571683975471899e-01,-4.083003970628775736e-01,-1.365203981541064371e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
0.000000000000000000e+00,-9.982059002618862698e-01,-4.083003970628775736e-01,-1.403123634530335506e-01,-1.999999999999999556e-01,-1.999999999999999556e-01,-1.999999999999999556e-01
0.000000000000000000e+00,-9.982368367016172250e-01,-4.083003970628775736e-01,-1.374744668893950195e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.981104466220380722e-01,-4.064463651970319225e-01,-1.431292559487157279e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.736818076087875307e-01,-4.108021691769954131e-01,-1.592289206463638473e-01,1.999999999999999556e-01,1.999999999999999556e-01,1.999999999999999556e-01
0.000000000000000000e+00,-9.730588058332857448e-01,-4.112760278446989659e-01,-1.569174001982480693e-01,-1.999999999999999556e-01,-1.999999999999999556e-01,-1.999999999999999556e-01
0.000000000000000000e+00,-9.735227902430602098e-01,-4.108811456216125979e-01,-1.579387058951643441e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.716118539871361204e-01,-4.103219366725303630e-01,-1.552868879940315638e-01,1.999999999999999556e-01,1.999999999999999556e-01,1.999999999999999556e-01
0.000000000000000000e+00,-9.719639790403438173e-01,-4.100143106640831148e-01,-1.560801890333978204e-01,-1.999999999999999556e-01,-1.999999999999999556e-01,-1.999999999999999556e-01
0.000000000000000000e+00,-9.719106127951188112e-01,-4.100143106640831148e-01,-1.549695100587762386e-01,-5.999999999999999778e-01,-5.999999999999999778e-01,-5.999999999999999778e-01
0.000000000000000000e+00,-9.678761162234291726e-01,-4.116738808031431551e-01,-1.521433358121834223e-01,1.999999999999999556e-01,1.999999999999999556e-01,1.999999999999999556e-01
0.000000000000000000e+00,-9.683753643739962946e-01,-4.112390857448473547e-01,-1.543869364217125284e-01,-1.999999999999999556e-01,-1.999999999999999556e-01,-1.999999999999999556e-01
